sls_ord_num,sls_order_dt,sls_prd_id,sls_cust_id,sls_sales,sls_quantity,sls_price
ORD00099,2024-01-20,9,12,65733,3,21911
ORD00100,2024-02-05,27,23,18322,2,9161
ORD00101,2024-03-16,35,113,105867,3,35289
ORD00102,2023-05-29,18,107,34680,2,17340
ORD00103,2024-04-24,31,104,148278,3,49426
ORD00104,2024-06-10,22,103,31192,1,31192
ORD00105,2022-03-19,10,97,89646,2,44823
ORD00106,2024-01-12,44,51,122355,5,24471
ORD00107,2022-04-03,26,2,106992,3,35664
ORD00108,2022-05-07,30,48,116427,3,38809
ORD00109,2023-01-26,41,48,44726,1,44726
ORD00110,2022-08-28,31,4,186460,5,37292
ORD00111,2022-12-02,40,29,42141,1,42141
ORD00112,2024-04-23,30,117,129144,3,43048
ORD00113,2023-02-23,8,18,2938,1,2938
ORD00114,2022-11-08,32,15,15887,1,15887
ORD00115,2023-07-05,9,50,99256,4,24814
ORD00116,2023-11-18,48,90,139835,5,27967
ORD00117,2023-08-25,48,94,55378,2,27689
ORD00118,2023-11-02,7,107,163388,4,40847
ORD00119,2023-02-22,18,5,44214,3,14738
ORD00120,2023-03-31,29,31,21033,3,7011
ORD00121,2023-12-04,24,70,13404,3,4468
ORD00122,2023-02-12,18,25,30300,1,30300
ORD00123,2022-04-04,43,28,9495,5,1899
ORD00124,2022-02-21,22,32,75000,2,37500
ORD00125,2022-07-30,5,107,70380,5,14076
ORD00126,2023-08-24,14,105,44064,2,22032
ORD00127,2024-03-03,10,101,3425,5,685
ORD00128,2022-10-11,10,17,84630,5,16926
ORD00129,2024-03-28,12,15,9137,1,9137
ORD00130,2022-01-16,23,102,78182,2,39091
ORD00131,2022-11-28,2,23,11802,3,3934
ORD00132,2022-05-10,48,54,39740,5,7948
ORD00133,2024-02-03,5,61,96904,4,24226
ORD00134,2023-06-10,38,14,134076,4,33519
ORD00135,2022-08-15,40,6,101335,5,20267
ORD00136,2023-04-15,42,4,31890,1,31890
ORD00137,2024-05-17,26,55,32630,1,32630
ORD00138,2023-12-31,29,10,21609,1,21609
ORD00139,2023-09-15,10,9,37046,2,18523
ORD00140,2023-10-02,41,75,235855,5,47171
ORD00141,2022-11-29,25,77,99130,5,19826
ORD00142,2023-04-10,33,78,27996,4,6999
ORD00143,2024-03-23,45,15,238700,5,47740
ORD00144,2024-06-05,14,56,61896,4,15474
ORD00145,2023-02-28,22,106,106524,4,26631
ORD00146,2023-03-02,47,13,85404,3,28468
ORD00147,2022-11-17,43,33,31509,3,10503
ORD00148,2023-12-05,31,9,6094,1,6094
ORD00149,2022-04-06,28,13,27081,3,9027
ORD00150,2023-07-24,4,76,186550,5,37310
ORD00151,2022-12-04,43,16,94692,4,23673
ORD00152,2024-06-13,43,97,191020,4,47755
ORD00153,2022-02-22,19,77,70635,3,23545
ORD00154,2022-04-17,37,65,21280,2,10640
ORD00155,2023-11-04,31,29,23445,1,23445
ORD00156,2024-05-15,36,48,18756,1,18756
ORD00157,2023-08-11,15,104,149052,4,37263
ORD00158,2024-02-25,40,79,11100,5,2220
ORD00159,2023-09-16,43,107,7191,3,2397
ORD00160,2022-07-04,18,90,68310,3,22770
ORD00161,2022-12-26,1,24,75228,2,37614
ORD00162,2023-11-05,26,9,98120,2,49060
ORD00163,2023-10-11,2,12,72990,5,14598
ORD00164,2023-01-21,27,59,32445,3,10815
ORD00165,2023-01-14,20,93,113091,3,37697
ORD00166,2023-09-03,6,114,10696,1,10696
ORD00167,2022-06-11,49,80,44669,1,44669
ORD00168,2022-03-25,18,57,129312,4,32328
ORD00169,2023-09-14,29,54,43881,3,14627
ORD00170,2024-02-13,33,15,86022,3,28674
ORD00171,2022-04-24,19,87,161955,5,32391
ORD00172,2023-06-24,43,40,14951,1,14951
ORD00173,2023-02-09,39,8,13897,1,13897
ORD00174,2022-11-05,14,99,34490,2,17245
ORD00175,2022-10-24,21,16,33096,1,33096
ORD00176,2024-02-04,28,23,50834,2,25417
ORD00177,2023-06-30,46,30,185580,5,37116
ORD00178,2024-05-03,43,104,15669,3,5223
ORD00179,2023-02-11,48,6,6912,4,1728
ORD00180,2023-04-16,5,111,114696,3,38232
ORD00181,2023-03-16,37,52,77892,4,19473
ORD00182,2022-04-28,26,3,35289,3,11763
ORD00183,2024-03-31,40,59,18825,3,6275
ORD00184,2023-03-24,7,32,156368,4,39092
ORD00185,2023-02-15,34,11,83336,4,20834
ORD00186,2024-02-03,22,29,34554,3,11518
ORD00187,2022-03-20,33,82,35273,1,35273
ORD00188,2023-06-07,13,116,70527,3,23509
ORD00189,2024-01-15,42,105,31968,2,15984
ORD00190,2022-04-16,10,33,23740,2,11870
ORD00191,2023-09-09,10,98,12109,1,12109
ORD00192,2024-03-02,41,64,199772,4,49943
ORD00193,2023-08-01,49,75,180552,4,45138
ORD00194,2023-08-02,42,82,108405,5,21681
ORD00195,2024-06-03,41,41,58640,2,29320
ORD00196,2022-03-11,31,57,55503,3,18501
ORD00197,2023-08-29,4,46,26810,5,5362
ORD00198,2022-11-14,30,58,4228,1,4228
ORD00199,2023-01-13,19,10,40805,1,40805
ORD00200,2023-09-01,33,50,154128,4,38532
ORD00201,2023-07-22,48,115,29973,1,29973
ORD00202,2024-04-09,37,84,43142,2,21571
ORD00203,2023-09-12,31,65,9108,2,4554
ORD00204,2023-04-07,7,104,141939,3,47313
ORD00205,2022-03-28,33,83,6130,2,3065
ORD00206,2022-09-11,46,57,139380,4,34845
ORD00207,2023-06-20,40,21,74805,3,24935
ORD00208,2022-10-17,25,53,134976,3,44992
ORD00209,2023-09-05,4,102,14457,3,4819
ORD00210,2022-12-04,7,72,76484,4,19121
ORD00211,2022-09-16,47,110,51770,5,10354
ORD00212,2022-12-08,6,75,46850,2,23425
ORD00213,2022-11-14,42,90,35800,4,8950
ORD00214,2023-09-02,46,11,111387,3,37129
ORD00215,2023-01-21,42,102,26625,3,8875
ORD00216,2023-11-18,45,107,33120,5,6624
ORD00217,2023-10-24,43,55,121060,5,24212
ORD00218,2022-01-19,24,40,29074,2,14537
ORD00219,2022-12-16,50,63,30692,2,15346
ORD00220,2022-05-21,10,10,21384,3,7128
ORD00221,2023-06-04,50,70,14865,5,2973
ORD00222,2023-11-09,22,113,45440,5,9088
ORD00223,2023-09-04,25,20,24702,2,12351
ORD00224,2024-05-01,45,99,56740,5,11348
ORD00225,2024-01-09,29,6,97496,4,24374
ORD00226,2023-11-24,47,31,162060,4,40515
ORD00227,2022-10-19,49,96,63340,4,15835
ORD00228,2023-07-01,16,40,52860,4,13215
ORD00229,2023-01-12,44,74,123024,4,30756
ORD00230,2024-02-27,19,100,133832,4,33458
ORD00231,2023-06-25,27,21,80254,2,40127
ORD00232,2022-05-22,17,7,99308,4,24827
ORD00233,2023-07-22,7,92,43350,5,8670
ORD00234,2022-10-19,6,98,36754,2,18377
ORD00235,2023-04-06,33,19,26040,4,6510
ORD00236,2022-08-16,29,114,6741,3,2247
ORD00237,2023-03-01,4,51,125035,5,25007
ORD00238,2022-08-30,25,11,45645,3,15215
ORD00239,2022-01-29,21,120,47338,1,47338
ORD00240,2023-10-28,22,102,19034,2,9517
ORD00241,2022-02-09,19,118,184468,4,46117
ORD00242,2024-05-01,9,98,119596,4,29899
ORD00243,2023-09-23,1,116,1745,1,1745
ORD00244,2022-09-20,14,107,72932,2,36466
ORD00245,2024-01-15,39,68,31144,4,7786
ORD00246,2024-03-05,19,31,25455,3,8485
ORD00247,2022-02-18,16,54,152285,5,30457
ORD00248,2022-03-06,8,108,158428,4,39607
ORD00249,2023-07-03,2,81,190930,5,38186
ORD00250,2022-09-05,46,19,85890,3,28630
ORD00251,2022-01-02,40,46,75798,2,37899
ORD00252,2023-03-03,12,86,34807,1,34807
ORD00253,2023-01-05,5,68,168740,5,33748
ORD00254,2024-03-16,33,71,26088,1,26088
ORD00255,2024-06-13,31,6,99856,4,24964
ORD00256,2022-09-17,48,3,14781,3,4927
ORD00257,2022-12-20,16,94,38635,1,38635
ORD00258,2024-01-23,49,43,6810,2,3405
ORD00259,2022-12-27,35,44,90742,2,45371
ORD00260,2023-04-21,45,62,18674,2,9337
ORD00261,2022-03-06,46,100,11692,4,2923
ORD00262,2022-10-28,13,6,6492,2,3246
ORD00263,2022-11-20,20,66,144352,4,36088
ORD00264,2023-04-30,17,5,38500,2,19250
ORD00265,2023-01-01,50,7,55215,3,18405
ORD00266,2022-05-08,24,56,196852,4,49213
ORD00267,2023-03-27,25,44,66038,2,33019
ORD00268,2023-12-10,32,48,89895,5,17979
ORD00269,2024-03-31,6,94,22688,4,5672
ORD00270,2023-03-17,39,106,72496,2,36248
ORD00271,2022-10-28,21,14,21990,1,21990
ORD00272,2023-11-08,19,40,159972,4,39993
ORD00273,2024-01-05,28,22,94152,4,23538
ORD00274,2023-04-03,3,94,122382,3,40794
ORD00275,2023-03-22,18,82,5417,1,5417
ORD00276,2023-11-19,41,52,102375,3,34125
ORD00277,2024-03-31,48,87,5080,2,2540
ORD00278,2022-05-27,39,87,11120,4,2780
ORD00279,2022-05-10,5,31,72699,3,24233
ORD00280,2023-01-28,37,5,52775,5,10555
ORD00281,2023-11-27,29,48,88782,3,29594
ORD00282,2024-02-21,5,74,70396,2,35198
ORD00283,2023-01-11,26,41,50574,3,16858
ORD00284,2022-04-27,2,95,66410,2,33205
ORD00285,2023-06-15,25,117,41085,5,8217
ORD00286,2022-09-26,50,34,58248,4,14562
ORD00287,2023-09-19,19,89,54472,4,13618
ORD00288,2022-05-06,9,110,30125,1,30125
ORD00289,2022-06-26,46,57,45190,1,45190
ORD00290,2024-05-15,21,86,141000,3,47000
ORD00291,2022-03-08,36,70,60471,3,20157
ORD00292,2024-05-21,11,92,48380,2,24190
ORD00293,2023-06-05,15,16,19202,2,9601
ORD00294,2022-08-31,32,4,110424,3,36808
ORD00295,2023-08-10,24,60,45020,5,9004
ORD00296,2023-09-19,6,9,79779,3,26593
ORD00297,2024-01-05,47,62,137105,5,27421
ORD00298,2024-02-27,27,106,26665,5,5333
ORD00299,2022-05-09,21,83,29989,1,29989
ORD00300,2023-04-23,44,67,26730,3,8910
ORD00301,2024-06-18,50,71,62125,5,12425
ORD00302,2024-02-26,9,56,20655,5,4131
ORD00303,2024-05-01,8,67,40862,2,20431
ORD00304,2022-06-18,11,42,46352,2,23176
ORD00305,2023-06-16,19,109,16923,1,16923
ORD00306,2022-07-21,41,71,26109,3,8703
ORD00307,2023-10-03,20,79,33110,5,6622
ORD00308,2023-05-30,42,22,192765,5,38553
ORD00309,2022-06-07,11,85,238635,5,47727
ORD00310,2023-09-12,22,108,15995,5,3199
ORD00311,2024-04-25,2,11,42538,1,42538
ORD00312,2024-02-29,37,34,75990,2,37995
ORD00313,2023-03-03,40,82,33139,1,33139
ORD00314,2023-10-05,35,38,96450,3,32150
ORD00315,2022-09-08,44,52,90669,3,30223
ORD00316,2022-03-16,45,8,58618,2,29309
ORD00317,2023-03-02,31,60,45588,2,22794
ORD00318,2023-09-14,10,41,145848,3,48616
ORD00319,2024-05-31,23,52,49566,2,24783
ORD00320,2023-06-12,36,14,49026,3,16342
ORD00321,2023-04-23,8,35,66988,4,16747
ORD00322,2022-05-25,7,7,77025,3,25675
ORD00323,2024-06-03,40,54,21932,2,10966
ORD00324,2024-04-13,21,120,238795,5,47759
ORD00325,2022-11-17,13,98,66308,2,33154
ORD00326,2023-06-12,30,64,99285,3,33095
ORD00327,2022-01-24,6,51,152325,5,30465
ORD00328,2022-09-04,14,75,11064,3,3688
ORD00329,2022-02-21,19,64,216885,5,43377
ORD00330,2023-11-20,31,37,5175,5,1035
ORD00331,2024-05-17,7,56,35664,2,17832
ORD00332,2024-01-15,24,98,97928,4,24482
ORD00333,2022-02-16,26,7,186595,5,37319
ORD00334,2022-07-19,24,71,15954,3,5318
ORD00335,2023-01-31,33,58,94155,5,18831
ORD00336,2024-04-25,40,88,41430,5,8286
ORD00337,2022-05-12,7,51,68166,3,22722
ORD00338,2023-07-26,24,97,27090,2,13545
ORD00339,2023-09-09,33,52,15690,5,3138
ORD00340,2022-02-16,3,18,94641,3,31547
ORD00341,2023-06-16,30,20,171420,5,34284
ORD00342,2022-05-24,21,120,106875,5,21375
ORD00343,2022-06-16,26,79,118230,3,39410
ORD00344,2022-12-11,33,107,176935,5,35387
ORD00345,2023-05-17,46,73,94866,3,31622
ORD00346,2024-04-15,2,48,133974,3,44658
ORD00347,2022-04-23,27,75,144102,3,48034
ORD00348,2024-06-12,45,81,39619,1,39619
ORD00349,2023-05-01,17,84,191775,5,38355
ORD00350,2022-08-22,47,7,159930,5,31986
ORD00351,2022-06-24,34,81,127080,5,25416
ORD00352,2022-06-01,44,32,38023,1,38023
ORD00353,2023-12-19,8,25,29403,1,29403
ORD00354,2022-11-18,27,20,183008,4,45752
ORD00355,2022-07-28,27,65,157035,5,31407
ORD00356,2024-06-12,48,94,46753,1,46753
ORD00357,2022-05-22,34,27,109010,5,21802
ORD00358,2023-11-10,31,68,84248,4,21062
ORD00359,2022-06-27,30,117,114670,5,22934
ORD00360,2023-07-14,23,87,121443,3,40481
ORD00361,2023-05-11,13,32,111222,3,37074
ORD00362,2022-11-02,15,39,140088,3,46696
ORD00363,2022-08-01,45,91,85108,4,21277
ORD00364,2023-05-07,23,72,58080,3,19360
ORD00365,2022-05-05,37,87,126915,5,25383
ORD00366,2023-02-09,23,99,39070,2,19535
ORD00367,2022-02-13,19,92,23199,1,23199
ORD00368,2023-03-29,42,33,58092,4,14523
ORD00369,2022-07-26,35,35,230620,5,46124
ORD00370,2022-10-06,9,14,245275,5,49055
ORD00371,2023-08-24,16,32,44398,1,44398
ORD00372,2023-06-28,15,82,7880,2,3940
ORD00373,2022-04-13,27,43,28356,4,7089
ORD00374,2023-11-29,50,18,36567,1,36567
ORD00375,2022-06-11,27,84,127160,4,31790
ORD00376,2023-10-29,13,97,64644,3,21548
ORD00377,2022-10-20,42,8,43249,1,43249
ORD00378,2023-08-11,15,69,11973,1,11973
ORD00379,2023-03-04,12,120,26517,1,26517
ORD00380,2024-03-17,32,24,8865,3,2955
ORD00381,2022-01-10,20,73,37660,5,7532
ORD00382,2022-12-10,19,59,174305,5,34861
ORD00383,2023-05-21,9,109,155860,5,31172
ORD00384,2022-10-07,13,104,22171,1,22171
ORD00385,2022-06-16,47,59,142782,3,47594
ORD00386,2022-07-10,1,95,59502,3,19834
ORD00387,2023-08-05,44,97,24002,2,12001
ORD00388,2023-09-18,41,115,114116,4,28529
ORD00389,2023-06-12,21,12,177440,4,44360
ORD00390,2022-04-08,12,18,86828,4,21707
ORD00391,2022-09-12,1,34,63740,4,15935
ORD00392,2023-04-03,49,35,60864,3,20288
ORD00393,2023-08-20,47,74,17641,1,17641
ORD00394,2023-11-01,24,89,9142,2,4571
ORD00395,2023-11-15,8,60,32901,3,10967
ORD00396,2023-02-20,44,65,137214,3,45738
ORD00397,2022-05-01,41,118,73761,3,24587
ORD00398,2023-09-22,15,29,63676,2,31838
ORD00399,2022-06-06,30,96,124925,5,24985
ORD00400,2023-03-02,45,71,142904,4,35726
ORD00401,2024-04-01,43,106,33434,2,16717
ORD00402,2023-11-28,49,77,34939,1,34939
ORD00403,2023-04-03,34,91,16854,3,5618
ORD00404,2023-08-01,8,8,168135,5,33627
ORD00405,2022-07-27,37,69,22566,2,11283
ORD00406,2022-12-02,34,57,45083,1,45083
ORD00407,2022-07-30,46,75,25836,4,6459
ORD00408,2023-06-07,29,104,30216,1,30216
ORD00409,2022-05-16,33,54,149824,4,37456
ORD00410,2022-03-01,36,60,143700,3,47900
ORD00411,2022-01-23,26,33,49377,1,49377
ORD00412,2022-08-12,38,10,28267,1,28267
ORD00413,2022-12-19,45,9,22240,5,4448
ORD00414,2022-03-12,31,5,81885,3,27295
ORD00415,2022-07-04,50,18,100160,4,25040
ORD00416,2023-01-27,29,112,100472,4,25118
ORD00417,2022-03-24,44,85,46075,5,9215
ORD00418,2023-11-01,23,16,71418,2,35709
ORD00419,2023-02-07,34,17,1454,2,727
ORD00420,2024-02-14,2,39,178552,4,44638
ORD00421,2024-01-07,35,55,126780,5,25356
ORD00422,2024-04-23,15,32,92740,4,23185
ORD00423,2022-06-08,18,25,2611,1,2611
ORD00424,2024-04-08,43,54,7625,5,1525
ORD00425,2022-09-04,14,9,39424,1,39424
ORD00426,2022-02-04,29,77,16538,1,16538
ORD00427,2024-01-29,3,52,63428,4,15857
ORD00428,2023-07-07,14,97,9683,1,9683
ORD00429,2023-05-31,19,30,106995,5,21399
ORD00430,2023-08-15,39,99,48075,3,16025
ORD00431,2022-11-06,10,85,74930,5,14986
ORD00432,2023-02-28,20,36,36985,1,36985
ORD00433,2023-08-29,48,117,83050,2,41525
ORD00434,2023-11-27,28,72,14288,4,3572
ORD00435,2022-12-19,42,86,139484,4,34871
ORD00436,2022-11-23,45,54,41116,4,10279
ORD00437,2022-11-04,25,24,157660,5,31532
ORD00438,2022-09-04,15,39,61688,2,30844
ORD00439,2022-03-01,36,53,148088,4,37022
ORD00440,2023-06-27,9,50,34422,2,17211
ORD00441,2022-07-28,22,83,29977,1,29977
ORD00442,2024-05-17,24,12,239930,5,47986
ORD00443,2024-04-29,13,7,75654,3,25218
ORD00444,2023-11-21,39,78,5269,1,5269
ORD00445,2022-07-12,49,76,73610,5,14722
ORD00446,2023-05-06,14,112,61107,3,20369
ORD00447,2022-01-16,14,120,98186,2,49093
ORD00448,2022-05-01,48,97,65592,4,16398
ORD00449,2023-12-14,39,91,52986,2,26493
ORD00450,2022-09-03,36,42,76341,3,25447
ORD00451,2023-04-23,35,84,62136,3,20712
ORD00452,2022-09-25,24,66,124160,4,31040
ORD00453,2022-04-11,47,61,41436,3,13812
ORD00454,2023-01-15,21,53,37365,1,37365
ORD00455,2024-06-03,15,95,3124,2,1562
ORD00456,2022-09-25,36,120,192270,5,38454
ORD00457,2024-01-08,27,38,26714,2,13357
ORD00458,2022-12-04,15,49,83020,5,16604
ORD00459,2023-05-27,36,84,52092,3,17364
ORD00460,2024-02-21,32,93,122800,4,30700
ORD00461,2022-06-22,47,102,34776,3,11592
ORD00462,2022-05-24,47,70,50244,4,12561
ORD00463,2023-07-10,42,8,13580,5,2716
ORD00464,2024-05-09,5,105,918,1,918
ORD00465,2023-02-27,9,108,9908,2,4954
ORD00466,2023-12-26,10,2,67286,2,33643
ORD00467,2023-04-12,24,8,211470,5,42294
ORD00468,2023-11-14,40,117,174824,4,43706
ORD00469,2023-05-15,2,1,183260,5,36652
ORD00470,2023-02-26,1,3,239145,5,47829
ORD00471,2022-10-09,35,37,33413,1,33413
ORD00472,2024-04-12,45,87,48992,4,12248
ORD00473,2022-04-20,7,68,32584,2,16292
ORD00474,2022-07-16,40,68,71184,3,23728
ORD00475,2022-10-01,26,11,81327,3,27109
ORD00476,2023-04-16,37,32,40318,2,20159
ORD00477,2023-12-02,6,84,6627,1,6627
ORD00478,2023-02-20,25,49,158475,5,31695
ORD00479,2022-02-27,41,2,11836,2,5918
ORD00480,2023-05-27,28,83,112749,3,37583
ORD00481,2024-05-28,7,115,16440,5,3288
ORD00482,2022-08-24,14,116,158310,5,31662
ORD00483,2022-10-05,3,119,45354,1,45354
ORD00484,2022-10-15,35,73,12254,1,12254
ORD00485,2024-05-20,21,3,77942,2,38971
ORD00486,2022-05-28,49,106,22168,4,5542
ORD00487,2022-11-03,11,73,75276,2,37638
ORD00488,2024-05-04,25,87,111200,5,22240
ORD00489,2023-01-29,49,95,91348,2,45674
ORD00490,2024-01-12,6,65,12057,3,4019
ORD00491,2022-04-11,28,30,22821,1,22821
ORD00492,2023-09-12,50,79,132490,5,26498
ORD00493,2024-03-03,21,4,90081,3,30027
ORD00494,2023-05-18,15,46,125515,5,25103
ORD00495,2023-03-19,12,88,218985,5,43797
ORD00496,2023-01-25,6,99,99285,5,19857
ORD00497,2024-03-28,16,92,5876,1,5876
ORD00498,2022-10-02,10,49,97948,2,48974
ORD00499,2023-02-03,21,47,6497,1,6497
ORD00500,2022-01-06,20,57,54537,3,18179
ORD00501,2022-04-15,9,12,57488,2,28744
ORD00502,2023-04-05,36,72,136205,5,27241
ORD00503,2022-04-16,2,12,110463,3,36821
ORD00504,2022-04-06,39,77,77238,3,25746
ORD00505,2022-01-13,19,53,24200,4,6050
ORD00506,2024-01-13,36,116,75966,2,37983
ORD00507,2023-06-18,11,88,46432,4,11608
ORD00508,2022-05-23,18,39,98451,3,32817
ORD00509,2022-05-30,5,22,74340,4,18585
ORD00510,2023-03-08,20,62,24166,1,24166
ORD00511,2022-09-15,16,93,157660,4,39415
ORD00512,2023-09-24,13,59,9379,1,9379
ORD00513,2022-11-08,1,51,123432,3,41144
ORD00514,2023-01-25,22,57,86160,3,28720
ORD00515,2024-04-15,42,77,40378,2,20189
ORD00516,2022-11-25,39,89,63784,2,31892
ORD00517,2022-11-18,12,51,58800,3,19600
ORD00518,2024-01-23,45,82,152960,4,38240
ORD00519,2024-03-11,16,42,75476,4,18869
ORD00520,2024-04-16,26,47,37452,1,37452
ORD00521,2022-07-24,38,70,90352,2,45176
ORD00522,2024-02-26,36,4,187692,4,46923
ORD00523,2022-08-03,29,103,137715,3,45905
ORD00524,2022-03-12,27,87,38484,4,9621
ORD00525,2023-10-11,20,31,130998,3,43666
ORD00526,2022-06-07,46,55,21388,4,5347
ORD00527,2023-04-05,39,62,133835,5,26767
ORD00528,2023-07-02,33,119,144512,4,36128
ORD00529,2022-02-07,24,90,197080,5,39416
ORD00530,2023-10-16,6,14,87192,2,43596
ORD00531,2023-11-12,23,22,17015,5,3403
ORD00532,2023-07-31,42,87,199308,4,49827
ORD00533,2022-12-06,28,14,6962,1,6962
ORD00534,2022-09-22,15,66,185340,5,37068
ORD00535,2023-08-18,45,74,59428,2,29714
ORD00536,2023-01-19,26,60,228740,5,45748
ORD00537,2023-05-28,10,45,32138,1,32138
ORD00538,2022-04-18,19,54,8106,1,8106
ORD00539,2024-05-01,47,19,62820,3,20940
ORD00540,2022-12-18,30,101,69302,2,34651
ORD00541,2023-05-10,23,61,29215,1,29215
ORD00542,2024-01-10,45,58,14706,3,4902
ORD00543,2022-11-04,3,104,1980,1,1980
ORD00544,2024-05-19,22,83,44877,1,44877
ORD00545,2024-03-30,11,120,68632,2,34316
ORD00546,2022-06-28,36,21,111570,3,37190
ORD00547,2023-03-13,30,30,167084,4,41771
ORD00548,2022-07-08,12,82,105696,4,26424
ORD00549,2022-01-30,48,79,59926,2,29963
ORD00550,2023-08-30,28,50,46685,1,46685
ORD00551,2022-08-08,14,36,38337,1,38337
ORD00552,2022-04-15,35,24,65589,3,21863
ORD00553,2022-07-21,30,15,133365,3,44455
ORD00554,2024-06-02,32,68,118869,3,39623
ORD00555,2023-02-02,40,51,39930,5,7986
ORD00556,2022-12-23,23,109,163836,4,40959
